"alert__week","alert__year","alert__count","confidence__cat"
7,2020,9,"h"
7,2020,112,"l"
7,2020,476,"n"
6,2020,15,"h"
6,2020,97,"l"
6,2020,345,"n"
5,2020,20,"h"
5,2020,47,"l"
5,2020,455,"n"
4,2020,11,"l"
4,2020,43,"n"
3,2020,8,"h"
3,2020,11,"l"
3,2020,379,"n"
2,2020,2,"h"
2,2020,83,"l"
2,2020,443,"n"
1,2020,6,"h"
1,2020,23,"l"
1,2020,244,"n"
52,2019,40,"h"
52,2019,81,"l"
52,2019,529,"n"
51,2019,9,"h"
51,2019,176,"l"
51,2019,1034,"n"
50,2019,38,"h"
50,2019,190,"l"
50,2019,2469,"n"
49,2019,169,"h"
49,2019,1050,"l"
49,2019,4825,"n"
48,2019,202,"h"
48,2019,525,"l"
48,2019,3364,"n"
47,2019,240,"h"
47,2019,404,"l"
47,2019,4829,"n"
46,2019,457,"h"
46,2019,1794,"l"
46,2019,8219,"n"
45,2019,1066,"h"
45,2019,2240,"l"
45,2019,11707,"n"
44,2019,983,"h"
44,2019,3175,"l"
44,2019,12558,"n"
43,2019,2362,"h"
43,2019,4664,"l"
43,2019,20405,"n"
42,2019,772,"h"
42,2019,1926,"l"
42,2019,7388,"n"
41,2019,751,"h"
41,2019,2501,"l"
41,2019,10667,"n"
40,2019,439,"h"
40,2019,2067,"l"
40,2019,8051,"n"
39,2019,596,"h"
39,2019,1466,"l"
39,2019,6520,"n"
38,2019,670,"h"
38,2019,2979,"l"
38,2019,9843,"n"
37,2019,459,"h"
37,2019,2126,"l"
37,2019,7612,"n"
36,2019,574,"h"
36,2019,1768,"l"
36,2019,8677,"n"
35,2019,775,"h"
35,2019,2588,"l"
35,2019,10945,"n"
34,2019,245,"h"
34,2019,2280,"l"
34,2019,7332,"n"
33,2019,805,"h"
33,2019,2370,"l"
33,2019,10875,"n"
32,2019,1273,"h"
32,2019,3592,"l"
32,2019,18205,"n"
31,2019,371,"h"
31,2019,2316,"l"
31,2019,9698,"n"
30,2019,513,"h"
30,2019,1747,"l"
30,2019,9984,"n"
29,2019,597,"h"
29,2019,1179,"l"
29,2019,8563,"n"
28,2019,280,"h"
28,2019,1127,"l"
28,2019,8077,"n"
27,2019,324,"h"
27,2019,1050,"l"
27,2019,7842,"n"
26,2019,196,"h"
26,2019,104,"l"
26,2019,2726,"n"
25,2019,146,"h"
25,2019,202,"l"
25,2019,3381,"n"
24,2019,261,"h"
24,2019,658,"l"
24,2019,6833,"n"
23,2019,170,"h"
23,2019,233,"l"
23,2019,3068,"n"
22,2019,128,"h"
22,2019,165,"l"
22,2019,2704,"n"
21,2019,58,"h"
21,2019,142,"l"
21,2019,2064,"n"
20,2019,70,"h"
20,2019,191,"l"
20,2019,2207,"n"
19,2019,144,"h"
19,2019,271,"l"
19,2019,2833,"n"
18,2019,130,"h"
18,2019,713,"l"
18,2019,2946,"n"
17,2019,25,"h"
17,2019,434,"l"
17,2019,1614,"n"
16,2019,62,"h"
16,2019,59,"l"
16,2019,1184,"n"
15,2019,12,"h"
15,2019,104,"l"
15,2019,782,"n"
14,2019,6,"h"
14,2019,64,"l"
14,2019,463,"n"
13,2019,2,"h"
13,2019,3,"l"
13,2019,216,"n"
12,2019,1,"h"
12,2019,13,"l"
12,2019,272,"n"
11,2019,3,"h"
11,2019,13,"l"
11,2019,159,"n"
10,2019,3,"h"
10,2019,5,"l"
10,2019,51,"n"
9,2019,1,"h"
9,2019,3,"l"
9,2019,51,"n"
8,2019,6,"h"
8,2019,6,"l"
8,2019,152,"n"
7,2019,9,"h"
7,2019,41,"l"
7,2019,268,"n"
6,2019,1,"h"
6,2019,24,"l"
6,2019,161,"n"
